Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
169.262	104.5661
169.421	104.5647
169.582	104.5631
169.742	104.5615
169.900	104.5599
170.059	104.5585
170.221	104.5571
170.380	104.5557
170.542	104.5541
170.702	104.5526
170.864	104.5511
171.030	104.5496
171.192	104.5481
171.359	104.5466
171.524	104.5451
171.686	104.5436
171.853	104.5421
172.014	104.5407
172.176	104.5391
172.337	104.5377
172.497	104.5363
172.651	104.5349
172.801	104.5334
172.949	104.5318
173.095	104.5302
173.240	104.5286
173.392	104.5271
173.542	104.5255
173.695	104.5239
173.850	104.5223
174.009	104.5209
174.165	104.5194
174.317	104.5179
174.465	104.5165
174.612	104.5150
174.759	104.5134
174.905	104.5119
175.054	104.5105
175.209	104.5089
175.364	104.5074
175.522	104.5058
175.679	104.5044
175.836	104.5029
175.992	104.5014
176.147	104.4999
176.301	104.4983
176.451	104.4968
176.600	104.4952
176.759	104.4936
176.916	104.4919
177.075	104.4902
177.234	104.4885
177.395	104.4870
177.557	104.4856
177.719	104.4841
177.882	104.4824
178.044	104.4807
178.205	104.4790
178.361	104.4774
178.516	104.4759
178.669	104.4744
178.823	104.4728
178.978	104.4712
179.132	104.4695
179.284	104.4679
179.440	104.4663
179.595	104.4647
179.749	104.4633
179.907	104.4618
180.066	104.4604
180.225	104.4588
180.383	104.4573
180.541	104.4557
180.701	104.4539
180.858	104.4523
181.017	104.4507
181.173	104.4490
181.330	104.4474
181.484	104.4458
181.638	104.4441
181.791	104.4425
181.945	104.4408
182.099	104.4393
182.251	104.4377
182.403	104.4361
182.555	104.4344
182.706	104.4328
182.858	104.4312
183.008	104.4295
183.156	104.4278
183.306	104.4263
183.457	104.4246
183.610	104.4229
183.762	104.4213
183.916	104.4198
184.071	104.4181
184.226	104.4164
184.383	104.4146
184.542	104.4129
184.701	104.4111
184.861	104.4095
185.020	104.4078
185.183	104.4062
185.345	104.4045
185.505	104.4029
185.666	104.4011
185.820	104.3994
185.972	104.3977
186.126	104.3958
186.279	104.3940
186.433	104.3921
186.586	104.3904
186.736	104.3887
186.887	104.3869
187.042	104.3853
187.196	104.3836
187.352	104.3818
187.513	104.3800
187.676	104.3783
187.835	104.3766
187.993	104.3748
188.149	104.3731
188.306	104.3712
188.466	104.3695
188.625	104.3679
188.786	104.3661
188.945	104.3644
189.106	104.3627
189.264	104.3609
189.420	104.3590
189.577	104.3572
189.735	104.3553
189.896	104.3534
190.058	104.3517
190.223	104.3498
190.386	104.3480
190.549	104.3461
190.709	104.3443
190.872	104.3425
191.034	104.3408
191.195	104.3389
191.356	104.3370
191.512	104.3350
191.668	104.3332
191.826	104.3313
191.984	104.3294
192.142	104.3276
192.302	104.3257
192.463	104.3238
192.621	104.3220
192.781	104.3201
192.939	104.3182
193.096	104.3163
193.251	104.3144
193.408	104.3124
193.567	104.3105
193.727	104.3087
193.885	104.3067
194.045	104.3048
194.201	104.3029
194.361	104.3011
194.521	104.2992
194.681	104.2974
194.844	104.2954
195.007	104.2934
195.169	104.2914
195.333	104.2895
195.498	104.2875
195.661	104.2856
195.824	104.2837
195.987	104.2818
196.148	104.2798
196.310	104.2778
196.469	104.2757
196.630	104.2736
196.790	104.2717
196.951	104.2698
197.110	104.2678
197.272	104.2658
197.433	104.2638
197.594	104.2617
197.755	104.2596
197.912	104.2577
198.071	104.2557
198.231	104.2537
198.390	104.2517
198.546	104.2496
198.701	104.2476
198.857	104.2455
199.009	104.2436
199.163	104.2417
199.316	104.2398
199.467	104.2377
199.622	104.2355
199.775	104.2335
199.931	104.2313
200.086	104.2292
200.242	104.2271
200.398	104.2250
200.552	104.2228
200.708	104.2206
200.863	104.2185
201.023	104.2165
201.186	104.2145
201.350	104.2125
201.516	104.2104
201.677	104.2082
201.840	104.2060
202.006	104.2039
202.173	104.2018
202.339	104.1997
202.505	104.1976
202.662	104.1957
202.823	104.1936
202.982	104.1914
203.143	104.1892
203.302	104.1870
203.462	104.1849
203.617	104.1827
203.774	104.1804
203.929	104.1782
204.081	104.1760
204.234	104.1739
204.389	104.1717
204.549	104.1695
204.711	104.1673
204.874	104.1652
205.041	104.1631
205.207	104.1610
205.373	104.1588
205.538	104.1565
205.703	104.1544
205.867	104.1522
206.026	104.1500
206.187	104.1478
206.346	104.1455
206.506	104.1432
206.664	104.1409
206.823	104.1388
206.980	104.1365
207.137	104.1342
207.296	104.1320
207.456	104.1297
207.615	104.1273
207.778	104.1249
207.941	104.1227
208.105	104.1205
208.268	104.1183
208.432	104.1159
208.594	104.1137
208.756	104.1113
208.919	104.1089
209.082	104.1066
209.243	104.1044
209.404	104.1022
209.565	104.1000
209.725	104.0977
209.885	104.0954
210.044	104.0930
210.205	104.0907
210.367	104.0884
210.530	104.0860
210.693	104.0838
210.855	104.0815
211.018	104.0792
211.178	104.0769
211.336	104.0745
211.495	104.0722
211.651	104.0698
211.807	104.0674
211.960	104.0651
212.112	104.0629
212.261	104.0606
212.409	104.0583
212.560	104.0560
212.710	104.0536
212.861	104.0512
213.010	104.0488
213.159	104.0463
213.313	104.0438
213.474	104.0415
213.638	104.0391
213.805	104.0368
213.974	104.0346
214.145	104.0324
214.318	104.0300
214.489	104.0277
214.659	104.0254
214.825	104.0232
214.989	104.0209
215.154	104.0186
215.315	104.0161
215.477	104.0137
215.640	104.0114
215.802	104.0090
215.967	104.0067
216.132	104.0044
216.295	104.0020
216.458	103.9997
216.620	103.9975
216.778	103.9951
216.936	103.9927
217.096	103.9903
217.253	103.9879
217.412	103.9855
217.569	103.9831
217.727	103.9808
217.883	103.9785
218.039	103.9762
218.197	103.9738
218.355	103.9714
218.513	103.9691
218.670	103.9668
218.826	103.9644
218.978	103.9620
219.130	103.9596
219.280	103.9572
219.430	103.9549
219.580	103.9526
219.735	103.9504
219.888	103.9482
220.039	103.9459
220.187	103.9438
220.336	103.9414
220.487	103.9390
220.641	103.9366
220.794	103.9343
220.951	103.9319
221.107	103.9296
221.264	103.9273
221.424	103.9251
221.583	103.9228
221.746	103.9205
221.906	103.9181
222.066	103.9158
222.224	103.9135
222.381	103.9113
222.540	103.9090
222.697	103.9067
222.856	103.9043
223.015	103.9021
223.173	103.8999
223.334	103.8978
223.491	103.8957
223.649	103.8935
223.805	103.8913
223.956	103.8892
224.108	103.8870
224.265	103.8848
224.422	103.8826
224.582	103.8804
224.742	103.8781
224.903	103.8758
225.061	103.8736
225.218	103.8714
225.372	103.8692
225.533	103.8669
225.687	103.8646
225.840	103.8624
225.995	103.8602
226.149	103.8580
226.307	103.8560
226.462	103.8539
226.624	103.8519
226.786	103.8498
226.946	103.8477
227.104	103.8456
227.265	103.8435
227.423	103.8413
227.580	103.8392
227.733	103.8371
227.884	103.8352
228.040	103.8332
228.194	103.8311
228.351	103.8289
228.512	103.8268
228.675	103.8247
228.836	103.8228
228.995	103.8208
229.151	103.8188
229.306	103.8168
229.457	103.8147
229.606	103.8127
229.755	103.8106
229.906	103.8085
230.058	103.8063
230.210	103.8042
230.370	103.8023
230.533	103.8003
230.697	103.7984
230.854	103.7964
231.016	103.7945
231.179	103.7925
231.339	103.7906
231.496	103.7886
231.656	103.7866
231.817	103.7847
231.975	103.7827
232.134	103.7808
232.292	103.7789
232.457	103.7771
232.624	103.7752
232.793	103.7733
232.963	103.7714
233.129	103.7694
233.293	103.7675
233.457	103.7657
233.618	103.7638
233.780	103.7619
233.938	103.7600
