Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Time (min)	Weight % (%)
18.017	96.4057
18.033	96.3877
18.050	96.3722
18.067	96.3609
18.083	96.3477
18.100	96.3338
18.117	96.3172
18.133	96.3057
18.150	96.2947
18.167	96.2810
18.183	96.2597
18.200	96.2419
18.217	96.2290
18.233	96.2201
18.250	96.2096
18.267	96.1987
18.283	96.1861
18.300	96.1735
18.317	96.1629
18.333	96.1498
18.350	96.1323
18.367	96.1161
18.383	96.1031
18.400	96.0907
18.417	96.0777
18.433	96.0677
18.450	96.0596
18.467	96.0464
18.483	96.0491
18.500	96.0589
18.517	96.0545
18.533	96.0357
18.550	96.0187
18.567	96.0041
18.583	95.9875
18.600	95.9706
18.617	95.9554
18.633	95.9419
18.650	95.9315
18.667	95.9265
18.683	95.9193
18.700	95.9061
18.717	95.8966
18.733	95.8864
18.750	95.8771
18.767	95.8742
18.783	95.8709
18.800	95.8670
18.817	95.8587
18.833	95.8495
18.850	95.8402
18.867	95.8334
18.883	95.8251
18.900	95.8139
18.917	95.8075
18.933	95.8021
18.950	95.7962
18.967	95.7869
18.983	95.7747
19.000	95.7650
19.017	95.7583
19.033	95.7526
19.050	95.7468
19.067	95.7368
19.083	95.7266
19.100	95.7173
19.117	95.7106
19.133	95.7066
19.150	95.6967
19.167	95.6852
19.183	95.6785
19.200	95.6721
19.217	95.6653
19.233	95.6619
19.250	95.6597
19.267	95.6535
19.283	95.6481
19.300	95.6434
19.317	95.6374
19.333	95.6284
19.350	95.6244
19.367	95.6200
19.383	95.6116
19.400	95.6008
19.417	95.5878
19.433	95.5826
19.450	95.5797
19.467	95.5759
19.483	95.5726
19.500	95.5671
19.517	95.5653
19.533	95.5584
19.550	95.5533
19.567	95.5480
19.583	95.5461
19.600	95.5430
19.617	95.5384
19.633	95.5325
19.650	95.5238
19.667	95.5173
19.683	95.5082
19.700	95.5030
19.717	95.4975
19.733	95.4892
19.750	95.4836
19.767	95.4754
19.783	95.4665
19.800	95.4601
19.817	95.4543
19.833	95.4546
19.850	95.4512
19.867	95.4445
19.883	95.4392
19.900	95.4302
19.917	95.4245
19.933	95.4169
19.950	95.4141
19.967	95.4083
19.983	95.3991
20.000	95.3932
20.017	95.3911
20.033	95.3918
20.050	95.3917
20.067	95.3885
20.083	95.3810
20.100	95.3758
20.117	95.3728
20.133	95.3659
20.150	95.3608
20.167	95.3582
20.183	95.3567
20.200	95.3509
20.217	95.3468
20.233	95.3410
20.250	95.3378
20.267	95.3334
20.283	95.3283
20.300	95.3215
20.317	95.3076
20.333	95.3010
20.350	95.3052
20.367	95.3042
20.383	95.3003
20.400	95.2930
20.417	95.2872
20.433	95.2832
20.450	95.2768
20.467	95.2712
20.483	95.2674
20.500	95.2618
20.517	95.2550
20.533	95.2502
20.550	95.2466
20.567	95.2438
20.583	95.2398
20.600	95.2350
20.617	95.2326
20.633	95.2306
20.650	95.2301
20.667	95.2264
20.683	95.2202
20.700	95.2144
20.717	95.2113
20.733	95.2072
20.750	95.2029
20.767	95.1998
20.783	95.1968
20.800	95.1939
20.817	95.1859
20.833	95.1809
20.850	95.1773
20.867	95.1791
20.883	95.1777
20.900	95.1688
20.917	95.1591
20.933	95.1548
20.950	95.1521
20.967	95.1495
20.983	95.1455
21.000	95.1415
21.017	95.1367
21.033	95.1337
21.050	95.1271
21.067	95.1234
21.083	95.1194
21.100	95.1152
21.117	95.1151
21.133	95.1130
21.150	95.1061
21.167	95.0997
21.183	95.0910
