Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8-10-16.tg1d

Time (min)	Weight (mg)
15.450	67.9818
15.467	67.9892
15.483	67.9924
15.500	67.9958
15.517	68.0029
15.533	68.0099
15.550	68.0186
15.567	68.0259
15.583	68.0283
15.600	68.0335
15.617	68.0376
15.633	68.0401
15.650	68.0432
15.667	68.0484
15.683	68.0545
15.700	68.0629
15.717	68.0675
15.733	68.0723
15.750	68.0803
15.767	68.0860
15.783	68.0880
15.800	68.0880
15.817	68.0913
15.833	68.0968
15.850	68.1055
15.867	68.1148
15.883	68.1203
15.900	68.1245
15.917	68.1291
15.933	68.1339
15.950	68.1357
15.967	68.1404
15.983	68.1441
16.000	68.1523
16.017	68.1684
16.033	68.1803
16.050	68.1836
16.067	68.1891
16.083	68.1957
16.100	68.1978
16.117	68.2008
16.133	68.2046
16.150	68.2041
16.167	68.2027
16.183	68.2101
16.200	68.2176
16.217	68.2242
16.233	68.2261
16.250	68.2296
16.267	68.2356
16.283	68.2433
16.300	68.2472
16.317	68.2562
16.333	68.2674
16.350	68.2822
16.367	68.2923
16.383	68.3005
16.400	68.3037
16.417	68.3136
16.433	68.3204
16.450	68.3255
16.467	68.3314
16.483	68.3285
16.500	68.3273
16.517	68.3298
16.533	68.3341
16.550	68.3405
16.567	68.3488
16.583	68.3562
16.600	68.3651
16.617	68.3710
16.633	68.3686
16.650	68.3725
16.667	68.3842
16.683	68.3846
16.700	68.3885
16.717	68.3927
16.733	68.3999
16.750	68.4101
16.767	68.4232
16.783	68.4308
16.800	68.4402
16.817	68.4456
16.833	68.4519
16.850	68.4607
16.867	68.4715
16.883	68.4767
16.900	68.4800
16.917	68.4832
16.933	68.4887
16.950	68.4919
16.967	68.4949
16.983	68.4986
17.000	68.5020
17.017	68.5065
17.033	68.5129
17.050	68.5196
17.067	68.5251
17.083	68.5302
17.100	68.5345
17.117	68.5382
17.133	68.5428
17.150	68.5487
17.167	68.5528
17.183	68.5528
17.200	68.5554
17.217	68.5574
17.233	68.5589
17.250	68.5607
17.267	68.5580
17.283	68.5587
17.300	68.5628
17.317	68.5681
17.333	68.5739
17.350	68.5772
17.367	68.5827
17.383	68.5896
17.400	68.5952
17.417	68.5974
17.433	68.6023
17.450	68.6075
17.467	68.6119
17.483	68.6157
17.500	68.6202
17.517	68.6325
17.533	68.6431
17.550	68.6472
17.567	68.6493
17.583	68.6545
17.600	68.6576
17.617	68.6603
17.633	68.6668
17.650	68.6737
17.667	68.6762
17.683	68.6806
17.700	68.6857
17.717	68.6947
17.733	68.7028
17.750	68.7082
17.767	68.7120
17.783	68.7134
17.800	68.7179
17.817	68.7235
17.833	68.7271
17.850	68.7264
17.867	68.7316
17.883	68.7392
17.900	68.7450
17.917	68.7462
17.933	68.7490
17.950	68.7539
17.967	68.7593
17.983	68.7642
18.000	68.7691
18.017	68.7773
18.033	68.7827
18.050	68.7889
18.067	68.7923
18.083	68.7993
18.100	68.8071
18.117	68.8149
18.133	68.8214
18.150	68.8274
18.167	68.8282
18.183	68.8290
18.200	68.8338
18.217	68.8378
18.233	68.8371
18.250	68.8436
18.267	68.8513
18.283	68.8574
18.300	68.8599
18.317	68.8635
18.333	68.8728
18.350	68.8793
18.367	68.8841
18.383	68.8859
18.400	68.8880
