Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8_8_16.tg1d

Time (min)	Weight % (%)
16.850	99.3536
16.867	99.3512
16.883	99.3489
16.900	99.3464
16.917	99.3441
16.933	99.3423
16.950	99.3404
16.967	99.3386
16.983	99.3363
17.000	99.3340
17.017	99.3323
17.033	99.3304
17.050	99.3284
17.067	99.3265
17.083	99.3244
17.100	99.3227
17.117	99.3211
17.133	99.3198
17.150	99.3185
17.167	99.3170
17.183	99.3156
17.200	99.3141
17.217	99.3125
17.233	99.3113
17.250	99.3100
17.267	99.3086
17.283	99.3071
17.300	99.3056
17.317	99.3042
17.333	99.3030
17.350	99.3017
17.367	99.3005
17.383	99.2988
17.400	99.2971
17.417	99.2955
17.433	99.2941
17.450	99.2930
17.467	99.2923
17.483	99.2917
17.500	99.2910
17.517	99.2904
17.533	99.2901
17.550	99.2888
17.567	99.2873
17.583	99.2858
17.600	99.2838
17.617	99.2818
17.633	99.2805
17.650	99.2796
17.667	99.2791
17.683	99.2788
17.700	99.2789
17.717	99.2790
17.733	99.2784
17.750	99.2776
17.767	99.2767
17.783	99.2757
17.800	99.2749
17.817	99.2740
17.833	99.2735
17.850	99.2734
17.867	99.2731
17.883	99.2725
17.900	99.2717
17.917	99.2707
17.933	99.2704
17.950	99.2699
17.967	99.2698
17.983	99.2697
18.000	99.2696
18.017	99.2695
18.033	99.2688
18.050	99.2685
18.067	99.2681
18.083	99.2678
18.100	99.2675
18.117	99.2677
18.133	99.2677
18.150	99.2675
18.167	99.2677
18.183	99.2679
18.200	99.2676
18.217	99.2670
18.233	99.2662
18.250	99.2657
18.267	99.2657
18.283	99.2661
18.300	99.2663
18.317	99.2667
18.333	99.2670
18.350	99.2671
18.367	99.2673
18.383	99.2680
18.400	99.2681
18.417	99.2681
18.433	99.2684
18.450	99.2686
18.467	99.2689
18.483	99.2695
18.500	99.2699
18.517	99.2701
18.533	99.2705
18.550	99.2711
18.567	99.2713
18.583	99.2719
18.600	99.2722
18.617	99.2722
18.633	99.2723
18.650	99.2722
18.667	99.2730
18.683	99.2740
18.700	99.2749
18.717	99.2757
18.733	99.2765
18.750	99.2773
18.767	99.2782
18.783	99.2789
18.800	99.2794
18.817	99.2801
18.833	99.2806
18.850	99.2815
18.867	99.2828
18.883	99.2842
18.900	99.2852
18.917	99.2859
18.933	99.2863
18.950	99.2868
18.967	99.2875
18.983	99.2882
19.000	99.2890
19.017	99.2900
19.033	99.2910
19.050	99.2918
19.067	99.2921
19.083	99.2930
19.100	99.2938
19.117	99.2949
19.133	99.2963
19.150	99.2976
19.167	99.2984
19.183	99.2993
19.200	99.3003
19.217	99.3016
19.233	99.3031
19.250	99.3046
19.267	99.3058
19.283	99.3068
19.300	99.3079
19.317	99.3089
19.333	99.3098
19.350	99.3109
19.367	99.3118
19.383	99.3130
19.400	99.3139
19.417	99.3148
19.433	99.3156
19.450	99.3168
19.467	99.3183
19.483	99.3198
19.500	99.3209
19.517	99.3218
19.533	99.3231
19.550	99.3250
19.567	99.3266
19.583	99.3274
19.600	99.3281
19.617	99.3291
19.633	99.3302
19.650	99.3311
19.667	99.3318
19.683	99.3330
19.700	99.3345
19.717	99.3358
19.733	99.3372
19.750	99.3384
19.767	99.3398
19.783	99.3412
19.800	99.3425
19.817	99.3437
19.833	99.3449
19.850	99.3463
19.867	99.3474
19.883	99.3483
19.900	99.3492
19.917	99.3501
19.933	99.3513
19.950	99.3525
19.967	99.3538
19.983	99.3551
20.000	99.3565
20.017	99.3578
20.033	99.3591
20.050	99.3605
20.067	99.3619
20.083	99.3630
20.100	99.3641
20.117	99.3655
20.133	99.3669
20.150	99.3681
20.167	99.3690
20.183	99.3702
20.200	99.3711
20.217	99.3721
20.233	99.3731
20.250	99.3740
20.267	99.3753
20.283	99.3764
20.300	99.3775
20.317	99.3788
20.333	99.3798
20.350	99.3810
20.367	99.3819
20.383	99.3830
20.400	99.3839
20.417	99.3851
20.433	99.3862
20.450	99.3873
20.467	99.3886
20.483	99.3895
20.500	99.3903
20.517	99.3916
20.533	99.3939
20.550	99.3950
20.567	99.3957
20.583	99.3964
20.600	99.3971
20.617	99.3982
20.633	99.3992
20.650	99.3998
20.667	99.3999
20.683	99.4000
20.700	99.4005
20.717	99.4015
20.733	99.4027
20.750	99.4040
20.767	99.4056
20.783	99.4064
20.800	99.4073
20.817	99.4082
20.833	99.4089
20.850	99.4100
20.867	99.4114
20.883	99.4124
20.900	99.4134
20.917	99.4141
