Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
177.639	72.7368
177.800	72.7324
177.960	72.7281
178.118	72.7237
178.271	72.7194
178.423	72.7150
178.579	72.7108
178.735	72.7065
178.886	72.7022
179.041	72.6979
179.201	72.6935
179.359	72.6891
179.520	72.6847
179.680	72.6805
179.840	72.6763
179.998	72.6721
180.155	72.6680
180.308	72.6638
180.460	72.6596
180.613	72.6553
180.763	72.6511
180.914	72.6469
181.068	72.6429
181.226	72.6387
181.379	72.6346
181.531	72.6304
181.686	72.6263
181.845	72.6221
182.003	72.6181
182.159	72.6142
182.318	72.6101
182.476	72.6061
182.634	72.6020
182.787	72.5978
182.935	72.5938
183.083	72.5896
183.234	72.5855
183.384	72.5814
183.532	72.5774
183.680	72.5735
183.828	72.5696
183.979	72.5657
184.130	72.5617
184.281	72.5577
184.435	72.5538
184.590	72.5498
184.746	72.5457
184.903	72.5418
185.061	72.5380
185.219	72.5343
185.375	72.5304
185.531	72.5265
185.686	72.5226
185.842	72.5187
185.997	72.5148
186.152	72.5111
186.306	72.5074
186.460	72.5037
186.618	72.5000
186.777	72.4964
186.937	72.4927
187.098	72.4889
187.258	72.4851
187.416	72.4813
187.574	72.4775
187.732	72.4734
187.889	72.4696
188.045	72.4659
188.201	72.4622
188.355	72.4586
188.508	72.4549
188.664	72.4514
188.816	72.4475
188.971	72.4439
189.123	72.4402
189.276	72.4364
189.432	72.4327
189.586	72.4290
189.741	72.4254
189.896	72.4218
190.048	72.4182
190.204	72.4146
190.356	72.4111
190.508	72.4075
190.660	72.4039
190.811	72.4002
190.964	72.3966
191.119	72.3931
191.275	72.3896
191.433	72.3860
191.588	72.3825
191.750	72.3790
191.913	72.3756
192.078	72.3722
192.246	72.3688
192.418	72.3653
192.590	72.3618
192.760	72.3582
192.924	72.3547
193.087	72.3512
193.247	72.3478
193.409	72.3443
193.569	72.3409
193.733	72.3375
193.894	72.3341
194.050	72.3307
194.206	72.3272
194.365	72.3238
194.524	72.3204
194.682	72.3169
194.839	72.3135
194.996	72.3100
195.153	72.3066
195.316	72.3033
195.481	72.3000
195.648	72.2965
195.816	72.2932
195.984	72.2898
196.150	72.2865
196.315	72.2832
196.479	72.2798
196.638	72.2764
196.797	72.2732
196.954	72.2699
197.109	72.2665
197.262	72.2631
197.419	72.2596
197.575	72.2562
197.732	72.2529
197.890	72.2496
198.046	72.2463
198.203	72.2430
198.360	72.2399
198.519	72.2366
198.678	72.2333
198.837	72.2302
199.003	72.2269
199.167	72.2236
199.336	72.2202
199.505	72.2171
199.676	72.2140
199.845	72.2107
200.013	72.2075
200.180	72.2044
200.348	72.2010
200.511	72.1977
200.678	72.1945
200.842	72.1912
201.003	72.1879
201.165	72.1846
201.324	72.1814
201.480	72.1782
201.638	72.1749
201.798	72.1717
201.961	72.1685
202.122	72.1653
202.286	72.1622
202.450	72.1590
202.616	72.1558
202.780	72.1527
202.942	72.1495
203.108	72.1462
203.272	72.1430
203.435	72.1398
203.598	72.1367
203.758	72.1336
203.920	72.1305
204.080	72.1272
204.238	72.1241
204.396	72.1209
204.555	72.1176
204.711	72.1143
204.867	72.1109
205.026	72.1077
205.189	72.1044
205.348	72.1015
205.506	72.0983
205.663	72.0952
205.822	72.0921
205.981	72.0889
206.139	72.0858
206.295	72.0825
206.453	72.0793
206.613	72.0762
206.768	72.0731
206.922	72.0699
207.078	72.0667
207.236	72.0633
207.396	72.0598
207.555	72.0565
207.718	72.0532
207.881	72.0501
208.043	72.0467
208.204	72.0433
208.365	72.0400
208.525	72.0367
208.685	72.0336
208.844	72.0303
209.002	72.0271
209.158	72.0238
209.315	72.0206
209.476	72.0173
209.638	72.0141
209.803	72.0108
209.964	72.0076
210.124	72.0043
210.279	72.0011
210.433	71.9978
210.589	71.9947
210.748	71.9917
210.908	71.9886
211.069	71.9857
211.234	71.9828
211.397	71.9800
211.564	71.9770
211.732	71.9741
211.898	71.9714
212.062	71.9688
212.224	71.9661
212.379	71.9634
212.537	71.9607
212.698	71.9579
212.862	71.9551
213.025	71.9523
213.190	71.9495
213.358	71.9466
213.522	71.9436
213.687	71.9406
213.848	71.9374
214.006	71.9343
214.163	71.9313
214.321	71.9282
214.482	71.9251
214.640	71.9220
214.802	71.9189
214.964	71.9158
215.128	71.9127
215.291	71.9097
215.455	71.9066
215.615	71.9035
215.776	71.9004
215.938	71.8973
216.101	71.8942
216.264	71.8912
216.425	71.8881
216.588	71.8850
216.752	71.8820
216.912	71.8788
217.072	71.8757
217.234	71.8726
217.396	71.8696
217.557	71.8665
217.719	71.8635
217.880	71.8603
218.042	71.8573
218.203	71.8541
218.363	71.8511
218.522	71.8480
218.682	71.8449
218.842	71.8417
219.002	71.8386
219.163	71.8355
219.324	71.8324
